Counter,Date/time,Latitude,Longitude
0,5/1/2023 0:42,-8.90948504,159.9728451
1,5/1/2023 0:43,-10.4484011,161.1018032
2,5/1/2023 0:43,-11.98606961,162.2460432
3,5/1/2023 0:44,-13.51553885,163.4030146
4,5/1/2023 0:44,-15.03796573,164.5762313
5,5/1/2023 0:45,-16.55346071,165.7685787
6,45:37.8,-18.05747168,166.9793213
7,46:08.3,-19.55438064,168.2150105
8,46:38.8,-21.03705589,169.4728925
9,47:09.2,-22.50822245,170.7584873
10,47:39.7,-23.96969205,172.0770237
11,48:10.3,-25.41689775,173.428229
12,48:40.7,-26.845538,174.8118484
13,49:11.2,-28.25994321,176.2362021
14,49:41.7,-29.65575447,177.7014416
15,50:12.2,-31.02931085,179.2082152
16,50:42.7,-32.3841883,-179.2345501
17,51:13.2,-33.71555779,-177.6269037
18,51:43.7,-35.01787721,-175.9703023
19,52:14.2,-36.29587414,-174.2528668
20,52:44.7,-37.54398853,-172.475479
21,53:15.2,-38.76038229,-170.6340926
22,53:45.6,-39.93982248,-168.7299361
23,54:16.1,-41.08180473,-166.756914
24,54:46.6,-42.18691771,-164.7057787
25,55:17.1,-43.24877635,-162.5797009
26,55:47.7,-44.26535357,-160.3741008
27,56:18.2,-45.23279285,-158.088217
28,56:48.6,-46.14417862,-155.7303137
29,57:19.2,-47.00179794,-153.2855242
30,57:49.7,-47.79997569,-150.7595035
31,58:20.2,-48.53549822,-148.1523352
32,58:50.8,-49.20442218,-145.4677643
33,59:21.3,-49.80209787,-142.715514
34,59:51.8,-50.32663874,-139.8956234
35,00:22.4,-50.77509745,-137.0141058
36,00:52.9,-51.14464934,-134.0793943
37,01:23.4,-51.43251803,-131.1059889
38,01:53.8,-51.63752536,-128.0995098
39,02:24.3,-51.75838637,-125.0697874
40,02:55.0,-51.79419208,-122.0121723
41,03:25.5,-51.74409531,-118.9656709
42,03:56.2,-51.60778796,-115.9167041
43,04:26.9,-51.38627579,-112.893098
44,04:57.6,-51.08122081,-109.9071601
45,05:28.2,-50.69652193,-106.9811151
46,05:58.8,-50.23128569,-104.0981091
47,06:29.5,-49.68908715,-101.2748898
48,07:00.1,-49.07639502,-98.5331183
49,07:30.7,-48.39136512,-95.8544405
50,43:06.9,45.94399032,11.93599565
51,43:37.4,46.81533805,14.36516833
52,44:08.1,47.63204788,16.88939503
53,44:38.8,48.38544714,19.49381199
54,45:09.3,49.06932449,22.1648152
55,45:40.0,49.68614075,24.92199844
56,46:10.6,50.22708054,27.73567409
57,46:41.2,50.69354496,30.62217201
58,47:11.8,51.0794225,33.55312863
59,47:42.5,51.38531244,36.54331384
60,48:13.2,51.6073429,39.56988915
61,48:43.8,51.74399499,42.62147593
62,49:14.4,51.7942987,45.67182878
63,49:45.1,51.75847042,48.73415251
64,50:15.8,51.63612658,51.79081011
65,50:46.5,51.42816534,54.82351275
66,51:17.1,51.13643976,57.81762097
67,51:47.8,50.76272311,60.7664257
68,52:18.3,50.31045668,63.6547962
69,52:48.9,49.78227222,66.47837776
70,53:19.4,49.18045075,69.23518013
71,53:50.0,48.50896397,71.91695058
72,54:20.5,47.7709202,74.52152252
73,54:51.0,46.96994842,77.04604712
74,5/1/2023 1:55,46.10899793,79.49085297
75,5/1/2023 1:55,45.19220802,81.85369093
76,56:22.5,44.22257317,84.13623872
77,56:53.1,43.20297487,86.34058022
78,57:23.6,42.13735826,88.46687026
79,57:54.1,41.02938131,90.51647741
80,58:24.6,39.88373779,92.48942692
81,58:55.1,38.69863503,94.39656404
82,59:25.5,37.48209389,96.2324375
83,59:56.0,36.23097898,98.00884837
84,00:26.5,34.95288001,99.7216213
85,00:57.0,33.6443623,101.3815885
86,01:27.5,32.3123153,102.9857894
87,01:58.0,30.95588896,104.5409075
88,02:28.5,29.57779505,106.0490006
89,02:59.0,28.1794091,107.5134851
90,03:29.4,26.76638478,108.9333126
91,03:59.9,25.33275609,110.318864
92,04:30.5,23.88382168,111.6689582
93,05:01.0,22.42080836,112.9863839
94,05:31.4,20.94862589,114.270586
95,06:01.9,19.46164417,115.5300067
96,06:32.3,17.96795958,116.7611332
97,07:02.7,16.46437993,117.9698694
98,07:33.3,14.94674289,119.1624116
99,08:03.8,13.42088705,120.3369164
100,08:34.3,11.88875557,121.4946805
101,09:04.8,10.35135215,122.6376579
102,09:35.4,8.808566048,123.7685357
103,10:05.9,7.260286387,124.8898975
104,10:36.4,5.710548676,126.0012886
105,11:06.9,4.158019139,127.1060901
106,11:37.4,2.602813598,128.2065772
107,12:07.9,1.05051963,129.3011407
108,12:38.4,-0.504849009,130.3963156
109,13:08.8,-2.056904455,131.4898987
110,13:39.2,-3.607937589,132.5857964
111,14:09.7,-5.160683837,133.6882678
112,14:40.2,-6.707976839,134.7945646
113,15:10.6,-8.252042667,135.9086277
114,15:41.1,-9.793864554,137.033606
115,16:11.6,-11.33111627,138.1703109
116,16:42.1,-12.86408211,139.3215366
117,17:12.6,-14.39169677,140.4891765
118,17:43.2,-15.91249076,141.6748931
119,18:13.7,-17.42369915,142.8793739
120,18:44.2,-18.92246747,144.1031978
121,19:14.7,-20.41368943,145.3534618
122,19:45.1,-21.89023991,146.6274285
123,20:15.7,-23.359036,147.9345622
124,20:46.2,-24.81293648,149.2722851
125,21:16.7,-26.24848284,150.6410285
126,21:47.2,-27.67014273,152.0490525
127,22:17.7,-29.07514948,153.4981144
128,22:48.1,-30.45715897,154.9860526
129,23:18.7,-31.82114057,156.5229961
130,23:49.2,-33.16277381,158.109463
131,24:19.7,-34.48027528,159.7488828
132,24:50.2,-35.77029092,161.4428414
133,25:20.8,-37.03097526,163.1949017
134,25:51.3,-38.26054979,165.0090097
135,26:21.8,-39.45733519,166.8896417
136,26:52.2,-40.61507576,168.8338305
137,27:22.8,-41.73749683,170.8555371
138,27:53.2,-42.81649999,172.9484696
139,28:23.8,-43.85136337,175.1193415
140,28:54.3,-44.83859153,177.3697259
141,29:24.8,-45.77411112,179.6992775
142,29:55.3,-46.65500713,-177.8901558
143,30:25.8,-47.47819262,-175.3973608
144,30:56.2,-48.23723964,-172.8333033
145,31:26.8,-48.93348221,-170.1839218
146,31:57.3,-49.56118547,-167.4597717
147,32:27.8,-50.11595869,-164.671203
148,32:58.3,-50.59687343,-161.8131623
149,33:28.9,-51.00012096,-158.8967059
150,33:59.4,-51.32291799,-155.9318317
151,34:29.9,-51.56260909,-152.9366211
152,35:00.5,-51.71884843,-149.9064367
153,35:31.0,-51.78986742,-146.8602859
154,36:01.7,-51.77501692,-143.8017313
155,36:32.2,-51.6746654,-140.7636567
156,37:02.9,-51.48863825,-137.7326302
157,37:33.6,-51.21813165,-134.7301219
158,38:04.2,-50.86523583,-131.7709207
159,38:34.9,-50.43229904,-128.864438
160,39:05.4,-49.92381772,-126.0278538
161,39:36.1,-49.33852454,-123.245097
162,40:06.8,-48.68150854,-120.5336405
163,40:37.4,-47.95983855,-117.9105688
164,15:58.2,46.01950464,-11.44886059
165,16:28.7,46.88603793,-9.012818261
166,16:59.3,47.69706439,-6.483530463
167,17:30.0,48.44508381,-3.872411652
168,18:00.7,49.12614854,-1.182999132
169,18:31.4,49.73587918,1.576691873
170,19:02.0,50.27243178,4.407935634
171,19:32.7,50.73160161,7.298131488
172,20:03.4,51.1118026,10.24715539
173,20:34.0,51.40963327,13.23853429
174,21:04.6,51.62288789,16.25278512
175,21:35.1,51.75156002,19.29267795
176,22:05.8,51.79461599,22.35810014
177,22:36.4,51.75141373,25.40894034
178,23:07.0,51.62201364,28.45910224
179,23:37.6,51.40822652,31.47442474
180,24:08.2,51.1099519,34.46548734
181,24:38.9,50.72956086,37.41250051
182,25:09.5,50.27162039,40.2931835
183,25:40.0,49.73752412,43.11175704
184,26:10.5,49.13100455,45.85897809
185,26:40.9,48.4560047,48.52838326
186,27:11.5,47.71290552,51.12777809
187,27:42.0,46.9070782,53.64703406
188,28:12.4,46.0434184,56.08130568
189,28:43.0,45.12217287,58.43931667
190,29:13.5,44.14884078,60.71577142
191,29:43.9,43.12894837,62.90763265
192,30:14.4,42.06037699,65.02812085
193,30:44.9,40.94998847,67.0715798
194,31:15.4,39.80303101,69.03724081
195,31:45.9,38.61574653,70.93921919
196,32:16.4,37.39341485,72.77574414
