Counter,Average Albedo,Has Water (EdgeTPU),Has Water (Albedo)
0,0.329616747193768,yes 0.50000,no
1,0.37606261934648677,yes 0.58594,no
2,0.3615844546511465,yes 0.79688,no
3,0.3484569132805008,yes 0.84766,no
4,0.2971479194309879,yes 0.84766,no
5,0.3121946800419795,yes 0.79688,no
6,0.3454622038072295,yes 0.58594,no
7,0.44128482243962724,yes 0.66406,no
8,0.4113852884123687,yes 0.79688,no
9,0.4459339803672171,yes 0.73438,no
10,0.48683087542643577,yes 0.73438,no
11,0.45555730121520654,no 0.66406,no
12,0.40292442163732806,no 0.66406,no
13,0.3946665601931229,no 0.73438,no
14,0.32465861021959735,yes 0.66406,no
15,0.2881376228534609,yes 0.88672,no
16,0.3515057507798969,yes 0.50000,no
17,0.45628410926175833,yes 0.58594,no
18,0.3517540138330447,yes 0.73438,no
19,0.3112549587948495,yes 0.93750,no
20,0.4123696637308303,yes 0.58594,no
21,0.453736652047901,yes 0.73438,no
22,0.4490213454557446,yes 0.66406,no
23,0.48513862262697005,no 0.58594,no
24,0.5010696076831946,no 0.66406,no
25,0.4343510166435207,no 0.58594,no
26,0.3539996969269352,yes 0.58594,no
27,0.34573630680915407,yes 0.58594,no
28,0.39331045943128146,yes 0.50000,no
29,0.45225464806126986,yes 0.50000,no
30,0.4817472751377046,yes 0.66406,no
31,0.4666763257498273,yes 0.66406,no
32,0.4129575815386183,yes 0.73438,no
33,0.3945210850758417,yes 0.66406,no
34,0.37101189009778385,yes 0.66406,no
35,0.3386941119083018,yes 0.66406,no
36,0.33973467211931524,yes 0.66406,no
37,0.34632402524511086,yes 0.66406,no
38,0.3383760509177494,no 0.73438,no
39,0.3225880016884613,no 0.66406,no
40,0.2809089945676547,no 0.66406,no
41,0.15941384151650356,yes 0.58594,no
42,0.05034745183593536,yes 0.84766,yes
43,0.008314376813387871,yes 0.79688,no
44,0.0034366776918643427,yes 0.73438,no
45,0.004071114489645201,yes 0.73438,no
46,0.0041885276538367,yes 0.73438,no
47,0.0046698343780158845,yes 0.66406,no
48,0.006039461939012101,yes 0.73438,no
49,0.006834208450380356,yes 0.79688,no
50,1.9543128841853376e-07,no 0.66406,no
51,3.0292359853882947e-07,no 0.66406,no
52,0.007585334399556842,yes 0.66406,no
53,0.007112972394256136,yes 0.58594,no
54,0.006610287509973046,yes 0.66406,no
55,0.006181578146395916,yes 0.58594,no
56,0.006008771391469439,yes 0.66406,no
57,0.005697422821529105,yes 0.58594,no
58,0.004926446516810351,yes 0.50000,no
59,0.0026456710697896047,yes 0.50000,no
60,0.006957040447839785,yes 0.50000,no
61,0.053038607020752006,yes 0.50000,yes
62,0.1759858182001481,no 0.66406,no
63,0.3504627594787808,no 0.73438,no
64,0.3544287210741006,no 0.58594,no
65,0.3703120360815821,yes 0.50000,no
66,0.3455281681468383,no 0.58594,no
67,0.3451067645697988,no 0.58594,no
68,0.34718759727953236,no 0.58594,no
69,0.33505483502724887,yes 0.58594,no
70,0.36959836974521865,no 0.73438,no
71,0.40288473538911157,no 0.91406,no
72,0.37601083951996844,no 0.88672,no
73,0.37128739023063606,no 0.84766,no
74,0.37782468581886647,no 0.66406,no
75,0.35939639595681877,no 0.66406,no
76,0.3713643286158693,no 0.79688,no
77,0.36028575023522613,no 0.66406,no
78,0.44628196008409404,yes 0.50000,no
79,0.41927921262091,no 0.66406,no
80,0.3761961503320067,no 0.73438,no
81,0.36654084455582764,yes 0.66406,no
82,0.363701713452887,yes 0.73438,no
83,0.37011673201774037,yes 0.58594,no
84,0.37941551831282666,yes 0.79688,no
85,0.41180589325310013,yes 0.73438,no
86,0.4873722178647245,yes 0.66406,no
87,0.42714349897338255,yes 0.66406,no
88,0.40629534639865755,yes 0.50000,no
89,0.4322303387807065,yes 0.58594,no
90,0.3240208945097991,yes 0.66406,no
91,0.36602993529471356,yes 0.50000,no
92,0.3300442594531543,no 0.66406,no
93,0.341226649891931,yes 0.66406,no
94,0.46927963926174704,no 0.79688,no
95,0.46828303194437076,no 0.66406,no
96,0.34633931819172925,yes 0.79688,no
97,0.3274627546041641,yes 0.84766,no
98,0.32354306947496836,yes 0.91406,no
99,0.31985941632333903,yes 0.91406,no
100,0.3224065126033156,yes 0.73438,no
101,0.3238387004465636,yes 0.73438,no
102,0.3325818021684214,yes 0.79688,no
103,0.33976720251558296,yes 0.84766,no
104,0.3574418810575982,yes 0.79688,no
105,0.3726842571276339,yes 0.50000,no
106,0.43600237811257136,no 0.73438,no
107,0.43323782051420484,no 0.66406,no
108,0.4315008542040055,no 0.58594,no
109,0.3565517293708626,yes 0.50000,no
110,0.3340412498489044,yes 0.66406,no
111,0.37349309134040676,yes 0.58594,no
112,0.37113755091448525,no 0.58594,no
113,0.402517554314795,yes 0.58594,no
114,0.4337069185320062,yes 0.58594,no
115,0.3050725739196342,yes 0.66406,no
116,0.32752157890578604,yes 0.84766,no
117,0.32868785276673174,yes 0.88672,no
118,0.33570393883836813,yes 0.79688,no
119,0.36379110998086067,yes 0.66406,no
120,0.3858764948941059,yes 0.79688,no
121,0.34850093288396505,yes 0.58594,no
122,0.3374054064555608,yes 0.50000,no
123,0.32651692477519295,yes 0.73438,no
124,0.3278797637803402,yes 0.58594,no
125,0.3330583815559704,yes 0.88672,no
126,0.34731318591786026,yes 0.66406,no
127,0.33659342555928273,yes 0.66406,no
128,0.33110795331634135,yes 0.66406,no
129,0.30242683640532914,yes 0.88672,no
130,0.3251448813221611,yes 0.91406,no
131,0.4037643725577923,yes 0.84766,no
132,0.36589913109459266,yes 0.66406,no
133,0.2915014588606579,yes 0.66406,no
134,0.3873194074564435,yes 0.73438,no
135,0.44535422007756537,yes 0.79688,no
136,0.4513009557130594,no 0.58594,no
137,0.47558400280894847,no 0.73438,no
138,0.4048617766259634,no 0.66406,no
139,0.3262547203934478,yes 0.73438,no
140,0.36584350467584353,yes 0.73438,no
141,0.3979211765289024,yes 0.50000,no
142,0.3786133233253716,no 0.58594,no
143,0.4828244520104116,no 0.73438,no
144,0.48737305603846814,no 0.91406,no
145,0.4630038093797888,no 0.66406,no
146,0.44170678182292616,yes 0.50000,no
147,0.37837644047750696,yes 0.66406,no
148,0.29874745450993584,yes 0.58594,no
149,0.3407769426330193,yes 0.73438,no
150,0.37719718380268213,yes 0.79688,no
151,0.3630766510253244,yes 0.73438,no
152,0.34425319622026107,yes 0.79688,no
153,0.305642888659815,yes 0.50000,no
154,0.22661537570026027,no 0.66406,no
155,0.0996969457691774,yes 0.58594,no
156,0.023748161713643936,yes 0.84766,no
157,0.004517667423294623,yes 0.73438,no
158,0.0035013856099972845,yes 0.66406,no
159,0.004209201561536909,yes 0.73438,no
160,0.004761036639499684,yes 0.73438,no
161,0.004819068933586608,yes 0.66406,no
162,0.005927197137066197,yes 0.73438,no
163,0.008147384421488248,yes 0.79688,no
